,,,,,,,,,,,,,,,,,
דשבורד,,,,תקציב / מתנות,,,,,,,,,,,,,
מאשרים *מעל* ההתחייבות,,,,"סה""כ הוצאות",,,,,,,,,,,,,
התחייבות,,,,"סה""כ מתנות הורים",,,,,,,,,,,,,
סכום מתנה ממוצע לברקאיוון,,,,"סה""כ הפרש",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"סה""כ מתנות בפועל",,,,,,,,,,,,,,,,,
"סה""כ רווח בפועל",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
סקטור,מס,הוצאה,,סטטוס,עלות מינימום ,"סה""כ עלות מינימום צפויה",עלות ליחידה,הערות,"סה""כ עלות בפועל ",שם ספק נבחר,מייל,טלפון,תנאי תשלום,מקדמה שבוצעה,יתרה לתשלום,מועד תשלום אחרון ,סטטוס תשלום
אולם,1,מנה אורח עד 400,,סגור,,,,,,,,,,,,,
,,מנה אורח מעל 400,,סגור,,,,,,,,,,,,,
,2,אלכוהול ומזיגה,,סגור,,,,,,,,,,,,,
,3,"עיצוב פנים, חופה, כלה, בר, מארחת",,סגור,,,,,,,,,,,,,
,5,טיפ למלצרים,,סגור,,,,,,,,,,,,,
,6,תאורה והגברה,,סגור,,,,,,,,,,,,,
,7,אפטר פארטי,,סגור,,,,,,,,,,,,,
,8,מארחת בקבלת פנים,,סגור,,,,,,,,,,,,,
,9,אקום וזכויות יוצרים,סגור,סגור,,,,,,,,,,,,,
ספקים,1,דיג'יי,,סגור,,,,,,,,,,,,,
,2,ניהול אירוע,,סגור,,,,,,,,,,,,,
,3,צלם סטילס  ,,,,,,,,,,,,,,,
,4,אלבומים,,,,,,,,,,,,,,,
,5,צלם ווידאו,,סגור,,,,,,,,,,,,,
,6,מגנטים,,סגור,,,,,,,,,,,,,
,7,להקה,,סגור,,,,,,,,,,,,,
,8,רב,,סגור,,,,,,,,,,,,,
,9,שירותי מזיגה,,סגור,,,,,,,,,,,,,
,10,מאפרת מסרקת,,סגור,,,,,,,,,,,,,
,11,סושיאל,,סגור,,,,,,,,,,,,,
,12,טבעות נישואין,,טרם התחיל,,,,,,,,,,,,,
,13,עמדת פרחים,,סגור,,,,,,,,,,,,,
,14,הסעות,,סגור,,,,,,,,,,,,,
הוצאות נוספות,1,גומי בבר,,טרם התחיל,,,,,,,,,,,,,
,2,מיץ גת,,טרם התחיל,,,,,,,,,,,,,
,3,רבנות,,סגור,,,,,,,,,,,,,
,4,סלסלות שירותים,,טרם התחיל,,,,,,,,,,,,,
,5,ציפורניים,,סגור,,,,,,,,,,,,,
,6,גבות,,סגור,,,,,,,,,,,,,
,7,תספורת אלון ,,סגור,,,,,,,,,,,,,
,8,קולב חתן כלה,,טרם התחיל,,,,,,,,,,,,,
,9,מלון,,טרם התחיל,,,,,,,,,,,,,
,10,טיפול פנים כלה,,טרם התחיל,,,,,,,,,,,,,
,11,אישורי הגעה,,טרם התחיל,,,,,,,,,,,,,
,12,זר כלה,,טרם התחיל,,,,,,,,,,,,,
,13,עלי אקספרס,,טרם התחיל,,,,,,,,,,,,,
,14,הדפסת הזמנות ותפריטים,,טרם התחיל,,,,,,,,,,,,,
,15,שלטי שולחן,,טרם התחיל,,,,,,,,,,,,,
,16,ערכת חירום,,טרם התחיל,,,,,,,,,,,,,
,17,כוס לחופה,,סגור,,,,,,,,,,,,,
ביגוד,1,שמלת כלה,,סגור,,,,,,,,,,,,,
,2,הינומה,,טרם התחיל,,,,,,,,,,,,,
,3,שמלת כלה 2,,טרם התחיל,,,,,,,,,,,,,
,4,שמלת כלה 3,,טרם התחיל,,,,,,,,,,,,,
,5,נעליים כלה,,טרם התחיל,,,,,,,,,,,,,
,6,נעליים להחלפה כלה,,טרם התחיל,,,,,,,,,,,,,
,7,נעליים חתן,,טרם התחיל,,,,,,,,,,,,,
,8,נעליים להחלפה חתן ,,טרם התחיל,,,,,,,,,,,,,
,9,תכשיטים כלה,,טרם התחיל,,,,,,,,,,,,,
,10,בגד התארגנות,,טרם התחיל,,,,,,,,,,,,,
,11,חליפת חתן,,טרם התחיל,,,,,,,,,,,,,
,12,טלית,,סגור,,,,,,,,,,,,,
אחר,3,מתנות למלוות,,טרם התחיל,,,,,,,,,,,,,
,6,מלון,,טרם התחיל,,,,,,,,,,,,,
,7,מסאז,,טרם התחיל,,,,,,,,,,,,,
,8,הדרכת כלה,,טרם התחיל,,,,,,,,,,,,,
,9,הדרכת חתן,,סגור,,,,,,,,,,,,,
,11,QR להעלאת תמונות,,טרם התחיל,,,,,,,,,,,,,
הפרשת חלה/מקווה,1,בגדים למקווה/הפרשת חלה ,,טרם התחיל,,,,,,,,,,,,,
,2,מתנות בהפרשת חלה,,טרם התחיל,,,,,,,,,,,,,
חינה,1,בגדים לחינה כלה ,,טרם התחיל,,,,,,,,,,,,,
,2,בגדים לחינה חתן,,טרם התחיל,,,,,,,,,,,,,
,3,אלכוהול לחינה,,,,,,,,,,,,,,,
,4,קישוטים לחינה,,,,,,,,,,,,,,,
,5,איפור ושיער לחינה,,סגור,,,,,,,,,,,,,
שבת חתן,1,בגדים לשבת חתן,,טרם התחיל,,,,,,,,,,,,,
,2,כיסוי ראש,,טרם התחיל,,,,,,,,,,,,,
